Entry,Score (kcal/mol),cpu,exhaustiveness,seed,num_modes,energy_range,center_x,center_y,center_z,size_x,size_y,size_z
(frame1) td001:1,-8.615,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame2) td001:1,-10.462,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame3) td001:1,-8.313,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame4) td001:1,-8.959,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame5) td001:1,-10.213,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame6) td001:1,-8.908,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame7) td001:1,-10.211,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame8) td001:1,-5.835,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame9) td001:1,-8.726,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame10) td001:1,-10.355,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame11) td001:1,-9.457,23,8,1,9,3,18,32.094,12.0135,18,15,20
(frame1) td001:1,-8.17,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame2) td001:1,-10.448,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame3) td001:1,-8.237,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame4) td001:1,-9.575,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame5) td001:1,-10.666,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame6) td001:1,-9.142,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame7) td001:1,-11.014,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame8) td001:1,-5.911,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame9) td001:1,-8.808,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame10) td001:1,-10.235,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame11) td001:1,-9.477,23,32,1,9,3,18,32.094,12.0135,18,15,20
(frame7) td001:1:model1,-10.49,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model2,-10.228,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model3,-10.218,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model4,-9.849,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model5,-9.687,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model6,-9.631,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model7,-9.577,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model8,-9.455,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model9,-9.32,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model10,-9.303,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model11,-9.289,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model12,-9.094,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model13,-8.968,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model14,-8.924,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model15,-8.697,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model16,-8.615,23,400,1,20,5,18,32.094,12.0135,18,15,20
(frame7) td001:1:model17,-8.504,23,400,1,20,5,18,32.094,12.0135,18,15,20
